transaction_id,customer_id,order_date_raw,amount_raw,currency,payment_method,status,refund_raw
T200070,C10138,2024-06-22 18:14:00,261.13dhs,US$,card,CHARGEBACK,no
T200071,C10067,2024-00-12,,د.إ,Card,CHARGEBACK,FALSE
T200072,C10321,,free,EUR,Apple Pay,,FALSE
T200073,C10183,05/28/2024,$363.86,,paypal,REFUNDED,refund
T200074,C10303,not a date,,AED,Cash,failed,yes
T200075,C10362,2022-06-19 06:59:00,210.48,,cash,paid,partial
T200076,C10025,2022/11/28,,PKR,Bank Transfer,PAID,1
T200077,C99999,2024/04/03,252.78,US$,bank_transfer,Paid,TRUE
T200078,C10166,,,,bank_transfer,,0
T200079,,not a date,255.64,EUR,PayPal,Paid,0
T200080,C10190,,$352.22,USD,card,,-
T200081,C10364,2024-02-10 08:00:00,,,cash,failed,FALSE
T200082,C10228,2024-09-15 16:53:00,$91.42,US$,,CHARGEBACK,Y
T200083,,05/07/2022,234.54,aed,Bank Transfer,failed,1
T200084,C10002,06/04/2023,free,US$,apple_pay,Paid,N
T200085,C10271,,204.25,,bank_transfer,chargeback,
T200086,C10238,,313.53,PKR,PayPal,pending,no
T200087,C10206,2022-10-03,118.99,,PayPal,chargeback,partial
T200088,C10258,2023-07-24 19:28:00,410.03,GBP,apple_pay,,1
T200089,C10154,2022-03-14,,usd,Apple Pay,pending,Y
T200090,C10150,,AED 275.50,,cash,failed,full
T200091,C10032,07/06/2023,,GBP,paypal,refunded,no
T200092,C10349,20/10/2022,178.53dhs,EUR,apple_pay,CHARGEBACK,TRUE
T200093,C10220,2023-11-12,AED -139.48,usd,Card,PAID,refund
T200094,C10007,10/19/2023,,USD,card,PAID,
T200095,C10352,15-Dec-2022,99.55,EUR,Card,refunded,FALSE
T200096,C99999,30/04/2022,318.54 AED,aed,bank_transfer,pending,0
T200097,C10174,2024/09/26,225.46dhs,aed,,,1
T200098,C10069,,AED 263.50,US$,Apple Pay,,-
T200099,C10324,2022/03/06,38.58 AED,,cash,CHARGEBACK,-
T200100,C10284,2023/04/01,,AED,Cash,Paid,full
T200101,,2022-10-22 09:31:00,124.27,US$,apple_pay,chargeback,
T200102,C10226,2023-06-05 10:59:00,free,AED,Bank Transfer,chargeback,refund
T200103,C10317,2024-00-12,213.07 AED,PKR,cash,,0
T200104,C10212,2023/10/24,,PKR,paypal,PENDING,partial
T200105,C10395,,,,apple_pay,REFUNDED,N
T200106,,,184.35,PKR,bank_transfer,CHARGEBACK,full
T200107,C10247,,117.9,,card,paid,partial
T200108,C10003,2022/09/23,AED 86.64,,Cash,,yes
T200109,C10100,2023/05/28,116.31,aed,cash,chargeback,-
T200110,C10317,2024-00-12,148.30 AED,EUR,Apple Pay,Paid,0
T200111,C10345,not a date,16.02dhs,PKR,Cash,failed,partial
T200112,C10347,2022/01/25,270.79dhs,EUR,card,PENDING,0
T200113,C10386,2024-00-12,free,US$,,PAID,-
T200114,C10384,11/04/2024,,USD,Cash,refunded,refund
T200115,C10371,19/03/2024,62.34,USD,paypal,pending,-
T200116,C10142,2024/03/18,206.29,AED,Card,CHARGEBACK,full
T200117,C10419,2024/02/22,342.81,EUR,cash,,-
T200118,C10138,,$283.76,GBP,card,chargeback,partial
T200119,C10022,,106.37dhs,د.إ,bank_transfer,chargeback,-
T200120,C10188,2024-00-12,112.06,PKR,apple_pay,,N
T200121,C10063,,158.46dhs,,cash,,
T200122,C10373,,AED 409.04,د.إ,cash,CHARGEBACK,
T200123,C10296,,208.78,GBP,,pending,yes
T200124,C10069,2022-11-08 20:25:00,52.39 AED,,Card,REFUNDED,TRUE
T200125,C10225,2022-03-20 16:37:00,,aed,bank_transfer,refunded,-
T200126,C10019,13-Jun-2024,291.08dhs,usd,,paid,1
T200127,C10315,29/04/2022,,aed,bank_transfer,refunded,0
T200128,C10399,2023-11-24,363.68 AED,AED,Bank Transfer,Paid,1
T200129,C10376,2024-00-12,151.99 AED,GBP,card,pending,FALSE
T200130,C10209,2024-00-12,215.66dhs,EUR,Card,FAILED,refund
T200131,C10120,2022-10-14,$299.14,PKR,Bank Transfer,refunded,0
T200132,C10238,2022-06-29 09:22:00,67.68,USD,Apple Pay,pending,refund
T200133,C10256,04/04/2023,64.85 AED,EUR,card,PAID,0
T200134,C10084,21/06/2023,$156.11,GBP,cash,failed,-
T200135,C10199,2024-08-30 14:39:00,106.46,,Apple Pay,CHARGEBACK,FALSE
T200136,C10338,not a date,AED -156.78,PKR,card,FAILED,partial
T200137,C10212,,141.34,,Bank Transfer,failed,N
T200138,C10286,12-Feb-2024,0,US$,PayPal,PENDING,0
T200139,C10206,10/08/2024,free,GBP,Cash,pending,N
T200140,C10183,,94.67 AED,AED,Apple Pay,FAILED,
T200141,C10173,18/06/2024,,aed,PayPal,PAID,TRUE
T200142,C10190,not a date,116.3dhs,,PayPal,PAID,1
T200143,C10350,2022-06-21,45.36 AED,EUR,cash,REFUNDED,-
T200144,C10362,08/09/2024,30.78 AED,USD,Cash,PENDING,
T200145,C10385,02/21/2022,118.21dhs,US$,Bank Transfer,Paid,1
T200146,C10178,10/01/2024,AED 147.19,PKR,apple_pay,PENDING,FALSE
T200147,C10147,2024-05-21,81.18,AED,PayPal,PAID,Y
T200148,,2024/05/08,free,,Apple Pay,failed,1
T200149,C10088,2022-03-07,free,PKR,card,pending,no
T200150,C10038,not a date,-276.86,GBP,PayPal,REFUNDED,no
T200151,C10041,2024/02/06,0.00 AED,aed,card,FAILED,yes
T200152,C10021,28/06/2022,365.59 AED,د.إ,cash,chargeback,Y
T200153,C10272,,34.76,AED,,CHARGEBACK,full
T200154,C10265,28/05/2024,,GBP,bank_transfer,Paid,N
T200155,C10378,,,,Apple Pay,CHARGEBACK,N
T200156,C10205,26/07/2024,196.04dhs,usd,card,CHARGEBACK,N
T200157,C10013,15-Jan-2024,249.13 AED,usd,apple_pay,PENDING,full
T200158,C10257,2024-00-12,AED 297.44,usd,paypal,pending,partial
T200159,C10167,24/08/2022,35.27dhs,د.إ,Bank Transfer,PAID,yes
T200160,C10060,2023-04-16 10:01:00,294.03,EUR,Cash,chargeback,Y
T200161,C10078,,334.56,usd,,,FALSE
T200162,C10321,2024-08-17,168.92,,cash,chargeback,
T200163,C10154,not a date,246.95,GBP,apple_pay,FAILED,
T200164,,14-Mar-2022,121.3dhs,EUR,Apple Pay,refunded,TRUE
T200165,C10346,,191.94,AED,Card,FAILED,yes
T200166,C10261,not a date,334.68,usd,,Paid,FALSE
T200167,C10362,25/06/2024,260.87,USD,Bank Transfer,REFUNDED,0
T200168,C10171,2024-03-24,free,GBP,Apple Pay,pending,no
T200169,C10371,09/18/2024,free,,PayPal,REFUNDED,-
T200170,C10151,2023-04-26 07:54:00,246.49 AED,aed,cash,,
T200171,C10030,17-Dec-2022,4.45,GBP,PayPal,REFUNDED,0
T200172,C10025,09-Jan-2022,free,,bank_transfer,Paid,-
T200173,C10092,not a date,0dhs,د.إ,,FAILED,0
T200174,C10232,,AED 217.51,,Card,pending,N
T200175,C10110,not a date,,EUR,Cash,pending,FALSE
T200176,C10413,not a date,$235.89,EUR,Cash,paid,TRUE
T200177,C10380,2023/10/28,,US$,,,1
T200178,C10091,2022-11-14 00:33:00,271.15dhs,,paypal,FAILED,FALSE
T200179,C10221,06-Mar-2023,97.62,EUR,Card,CHARGEBACK,
T200180,C10321,2024-00-12,AED 210.88,USD,bank_transfer,PENDING,
T200181,C10377,04-Nov-2023,146.57,,card,failed,full
T200182,C10312,2024-00-12,0.00,,Bank Transfer,FAILED,partial
T200183,C10156,2024-00-12,$256.62,usd,Bank Transfer,Paid,0
T200184,C10074,08/11/2023,457.46,USD,apple_pay,REFUNDED,no
T200185,,2023/12/05,208.52 AED,aed,,CHARGEBACK,Y
T200186,C10138,2023-08-17 15:46:00,260.77 AED,USD,apple_pay,Paid,full
T200187,C10411,2023-02-24 22:03:00,123.8,د.إ,PayPal,pending,no
T200188,C10367,2024/08/17,,aed,Apple Pay,failed,TRUE
T200189,C10274,03/26/2022,157.71,US$,Bank Transfer,refunded,1
T200190,C10070,09/03/2022,16.94 AED,GBP,paypal,chargeback,full
T200191,C10404,2024-00-12,AED 305.84,,PayPal,pending,0
T200192,C10094,not a date,AED 212.34,GBP,Bank Transfer,,0
T200193,C10186,2023-01-06 02:35:00,,,paypal,PAID,refund
T200194,C10417,not a date,294.21,د.إ,apple_pay,chargeback,
T200195,C10337,08/21/2023,167.75,,Bank Transfer,,1
T200196,C10013,2024-07-25 18:03:00,190.37dhs,PKR,card,PAID,Y
T200197,C10195,not a date,AED 99.88,aed,Card,paid,0
T200198,C10351,01/09/2024,158.76 AED,US$,Card,PAID,Y
T200199,C10108,,172.13dhs,AED,bank_transfer,chargeback,refund
T200200,C10306,2022/09/19,225.8,GBP,Cash,failed,partial
T200201,C10039,21-Mar-2023,368.05,usd,bank_transfer,REFUNDED,
T200202,C10173,31/10/2022,206.46dhs,USD,Apple Pay,CHARGEBACK,yes
T200203,C10331,2023-01-21 17:44:00,286.14,usd,cash,refunded,-
T200204,C10289,2022-11-10 17:53:00,$87.48,usd,card,Paid,TRUE
T200205,C10059,2022-12-21,346.67,د.إ,,Paid,partial
T200206,C10350,2024-08-26 22:42:00,285.68,GBP,Bank Transfer,REFUNDED,TRUE
T200207,C10124,not a date,$141.12,,bank_transfer,paid,N
T200208,C10125,30-Apr-2022,268.04dhs,USD,PayPal,CHARGEBACK,
T200209,C10168,2024-08-06 19:56:00,140.91,د.إ,Apple Pay,refunded,-
T200210,C10073,2022/06/19,15.29dhs,د.إ,Card,CHARGEBACK,no
T200211,C10329,not a date,,USD,Apple Pay,,0
T200212,C10138,,,,paypal,pending,-
T200213,C10218,02/10/2023,230.02,US$,PayPal,CHARGEBACK,
T200214,C10096,not a date,,AED,paypal,PAID,refund
T200215,C10128,2022-07-21 10:09:00,,,Cash,failed,full
T200216,C10058,not a date,124.02,US$,card,REFUNDED,TRUE
T200217,C10231,2023-09-03,222.60 AED,aed,Card,Paid,FALSE
T200218,C10134,2022-12-24,184.38,,Card,pending,TRUE
T200219,C10122,2024-00-12,free,EUR,Bank Transfer,paid,N
T200220,C10408,30-Sep-2022,339.97,د.إ,,failed,yes
T200221,C10292,26/09/2022,82.0,EUR,cash,REFUNDED,0
T200222,C10361,2024-00-12,72.03,,Apple Pay,paid,-
T200223,C10209,,,USD,Bank Transfer,refunded,TRUE
T200224,C10145,20-Feb-2024,AED 182.20,USD,apple_pay,pending,partial
T200225,,,,USD,Bank Transfer,PAID,0
T200226,C10023,2022-07-18 04:52:00,148.27,PKR,paypal,refunded,
T200227,,2023/08/12,free,EUR,apple_pay,PENDING,no
T200228,C10357,,free,AED,Cash,FAILED,FALSE
T200229,C10339,03/05/2022,178.57,,bank_transfer,refunded,TRUE
T200230,C10296,11/23/2022,276.28 AED,usd,PayPal,failed,
T200231,C10261,08-Nov-2022,,,PayPal,PAID,refund
T200232,C10414,14/03/2022,0.56dhs,,paypal,FAILED,partial
T200233,C10202,not a date,373.58,PKR,card,,TRUE
T200234,C10231,,,,card,paid,refund
T200235,C10001,2024-00-12,,EUR,PayPal,PENDING,refund
T200236,C10O01,2022/04/19,5881.53 AED,USD,Card,pending,1
T200237,C10202,2022-03-10 14:24:00,214.12 AED,PKR,apple_pay,FAILED,-
T200238,C10174,16/04/2022,331.9dhs,د.إ,Apple Pay,REFUNDED,0
T200239,C10358,2024-00-12,free,,Apple Pay,Paid,FALSE
T200240,C10392,06/06/2024,119.58 AED,,cash,pending,TRUE
T200241,C10187,03/31/2022,256.71,USD,,PENDING,partial
T200242,C10349,21-Feb-2024,43.20,AED,paypal,failed,0
T200243,C10203,2023/03/22,358.99 AED,US$,,chargeback,TRUE
T200244,C10O01,,100.95dhs,usd,card,PAID,Y
T200245,C10278,not a date,251.58,,card,chargeback,no
T200246,C10283,2023/06/13,65.01,GBP,Card,FAILED,yes
T200247,C10323,2022/02/01,173.22,AED,,pending,0
T200248,C10358,2023-09-11 16:27:00,261.85 AED,aed,PayPal,chargeback,
T200249,C10129,2022-03-27,,EUR,bank_transfer,chargeback,partial
T200250,C10121,02/06/2022,,GBP,,PAID,
T200251,C10121,,$60.48,usd,PayPal,PAID,FALSE
T200252,C10228,05-Jun-2022,177.71,GBP,Card,pending,FALSE
T200253,C10309,2022-04-24 06:44:00,free,د.إ,Card,Paid,full
T200254,C10158,2024-00-12,,PKR,apple_pay,pending,0
T200255,C10023,,277.67dhs,AED,cash,,yes
T200256,C10393,09/06/2022,AED 0.00,GBP,paypal,refunded,N
T200257,C10214,2023/10/04,$225.25,aed,Apple Pay,REFUNDED,Y
T200258,C10O01,,AED 355.24,,paypal,refunded,1
T200259,C10118,22/12/2022,187.51,US$,paypal,REFUNDED,N
T200260,C10128,05/03/2023,118.07,GBP,bank_transfer,CHARGEBACK,0
T200261,C10343,,free,usd,Cash,Paid,no
T200262,C10273,not a date,119.61,USD,bank_transfer,Paid,
T200263,C10165,2024-00-12,256.69dhs,usd,Apple Pay,CHARGEBACK,TRUE
T200264,C10022,,,aed,bank_transfer,chargeback,
T200265,C10238,,$347.16,PKR,apple_pay,PENDING,full
T200266,C10236,06/27/2023,AED 239.94,,cash,,
T200267,C10189,30-Jun-2022,93.13 AED,US$,cash,Paid,TRUE
T200268,C10114,11/04/2022,,EUR,bank_transfer,PENDING,FALSE
T200269,,2024-00-12,,د.إ,,refunded,full
T200270,C10342,06-Aug-2024,111.79,,PayPal,Paid,yes
T200271,C99999,2024-00-12,128.9dhs,,PayPal,refunded,Y
T200272,C10146,2022/11/28,0dhs,,Cash,Paid,1
T200273,C10131,2024-00-12,288.41,PKR,cash,FAILED,partial
T200274,C10043,08/21/2022,109.47,EUR,,Paid,Y
T200275,C10088,03/24/2023,,aed,card,pending,0
T200276,C10073,2024-00-12,0,aed,Cash,refunded,Y
T200277,C10183,,153.25dhs,aed,Card,Paid,yes
T200278,C10269,11/07/2024,AED 271.28,GBP,Cash,CHARGEBACK,0
T200279,C10388,2024-00-12,169.31,AED,PayPal,failed,TRUE
T200280,C10398,2023-12-22 09:44:00,236.61dhs,GBP,PayPal,refunded,partial
T200281,C10334,12/27/2022,47.82,GBP,,pending,1
T200282,C10224,02/05/2022,AED 19.04,aed,Bank Transfer,FAILED,1
T200283,C10218,2024-00-12,286.29dhs,EUR,Bank Transfer,chargeback,1
T200284,C10119,2023-06-15,239.06dhs,PKR,bank_transfer,paid,TRUE
T200285,C10233,07/07/2022,$176.34,usd,card,FAILED,Y
T200286,C10385,24/11/2023,333.85,aed,bank_transfer,failed,partial
T200287,C10383,,AED 65.86,,apple_pay,chargeback,yes
T200288,C10288,19-Dec-2023,,aed,bank_transfer,paid,partial
T200289,C10327,,303.16dhs,,Card,REFUNDED,refund
T200290,C10117,,,aed,Apple Pay,refunded,
T200291,C10234,03/01/2024,free,aed,paypal,failed,FALSE
T200292,C10038,2022/10/08,381.54,US$,paypal,REFUNDED,no
T200293,C10382,2023-09-06,,,Apple Pay,PENDING,yes
T200294,C10247,2022-04-20 10:11:00,free,usd,Apple Pay,refunded,refund
T200295,C10178,,159.14dhs,AED,Cash,chargeback,no
T200296,C10173,not a date,,aed,Card,CHARGEBACK,N
T200297,C10170,03/28/2022,$210.96,aed,Apple Pay,paid,TRUE
T200298,C10042,2022/08/06,291.93,US$,paypal,failed,-
T200299,C10373,11/28/2023,162.21 AED,aed,Cash,CHARGEBACK,1
T200300,C10126,2022/06/24,171.55dhs,,bank_transfer,CHARGEBACK,
T200301,C10O01,,$347.15,EUR,Card,PAID,yes
T200302,C10263,2023-03-02 02:36:00,AED 30.03,US$,card,FAILED,-
T200303,C10117,2022/05/04,$0.29,aed,card,PENDING,FALSE
T200304,C10257,2024-00-12,$101.52,,Apple Pay,PAID,N
T200305,C10371,,$36.41,GBP,Apple Pay,pending,TRUE
T200306,C10199,06/19/2022,,US$,Bank Transfer,paid,yes
T200307,,2024-00-12,AED 217.16,,,CHARGEBACK,
T200308,C10147,not a date,$76.31,GBP,Apple Pay,chargeback,partial
T200309,C10238,2024-00-12,106.26,GBP,PayPal,CHARGEBACK,
T200310,C10209,11/06/2023,523.33,,card,PENDING,
T200311,C99999,2023-09-12,106.79 AED,US$,PayPal,,yes
T200312,C10359,,AED 88.56,PKR,paypal,paid,TRUE
T200313,C10361,2023-02-04 05:01:00,$216.52,USD,paypal,REFUNDED,refund
T200314,C10348,18/12/2022,256.59,PKR,Bank Transfer,PENDING,refund
T200315,C10091,13/11/2023,206.6dhs,US$,Cash,failed,1
T200316,C10288,2023/11/15,70.96,AED,,PAID,N
T200317,C10323,28-Jan-2023,40.9dhs,,bank_transfer,chargeback,
T200318,C10365,2023/03/18,251.54 AED,EUR,Cash,REFUNDED,-
T200319,C10184,27-Oct-2023,,,bank_transfer,CHARGEBACK,Y
T200320,C10244,2022/12/19,free,USD,cash,CHARGEBACK,N
T200321,C10384,2024-05-03 03:51:00,free,AED,bank_transfer,refunded,TRUE
T200322,C10397,08-Aug-2023,273.04dhs,GBP,paypal,CHARGEBACK,-
T200323,C10419,12/10/2023,,US$,Card,pending,1
T200324,C10377,21-Jan-2023,148.77,,Bank Transfer,PAID,-
T200325,C10387,not a date,AED 207.78,EUR,apple_pay,,-
T200326,C10166,,$97.56,AED,apple_pay,FAILED,partial
T200327,C10215,2024-07-25,,AED,apple_pay,PAID,full
T200328,C10383,08/11/2023,free,,bank_transfer,chargeback,no
T200329,C10397,2023-10-02 02:21:00,$7.31,,,refunded,partial
T200330,C10051,2024-00-12,,PKR,apple_pay,,Y
T200331,C10363,not a date,free,usd,,FAILED,full
T200332,C10386,12/02/2023,,USD,PayPal,PAID,Y
T200333,C10408,2022-12-19 08:42:00,163.72dhs,US$,Card,chargeback,N
T200334,C10375,not a date,,aed,,failed,full
T200335,C10231,not a date,AED 52.27,US$,cash,PAID,
T200336,C10176,,$10.21,PKR,card,,
T200337,C10417,02/13/2023,102.46,GBP,paypal,pending,TRUE
T200338,,2022/11/25,45.15,USD,,CHARGEBACK,Y
T200339,C10115,2022-02-25 16:05:00,,US$,Cash,Paid,full
T200340,C10252,04/21/2023,$230.50,GBP,apple_pay,FAILED,partial
T200341,C10271,03/08/2024,free,,Apple Pay,pending,refund
T200342,C10082,01/02/2022,379.15,USD,Apple Pay,failed,no
T200343,,not a date,,usd,Cash,paid,N
T200344,C10251,2023/06/26,496.62,GBP,apple_pay,chargeback,
T200345,C10028,2023-11-14 17:01:00,417.86dhs,EUR,card,CHARGEBACK,refund
T200346,C10287,2022-06-23 02:15:00,AED 155.58,د.إ,apple_pay,REFUNDED,refund
T200347,C10049,2022-08-01 18:27:00,$0.00,usd,bank_transfer,REFUNDED,N
T200348,C10341,2022-09-28 20:14:00,,,paypal,failed,
T200349,C10399,2024-00-12,AED 188.70,USD,PayPal,REFUNDED,N
T200350,C10133,05/23/2024,0,AED,Bank Transfer,,N
T200351,C10358,2024-00-12,,aed,Bank Transfer,PENDING,full
T200352,C10387,2022-08-26,free,USD,apple_pay,failed,Y
T200353,C10072,,85.71dhs,USD,Cash,FAILED,
T200354,C10174,2024/07/31,255.2dhs,aed,card,,full
T200355,C10327,20-Aug-2022,300.64 AED,AED,cash,Paid,no
T200356,C10389,03/31/2024,121.66dhs,PKR,cash,FAILED,refund
T200357,C10301,27-Jun-2022,$207.54,USD,Bank Transfer,REFUNDED,yes
T200358,C10150,2024-01-11,101.42,US$,PayPal,pending,Y
T200359,C10349,2024-07-08 22:41:00,85.61,,bank_transfer,Paid,yes
T200360,C10415,not a date,189.54,PKR,PayPal,pending,refund
T200361,C10119,2023/04/20,$242.81,,,paid,1
T200362,C10193,09/02/2023,5538.73dhs,د.إ,cash,,TRUE
T200363,C10366,01/01/2022,free,,Card,failed,refund
T200364,C10166,,AED 372.62,USD,Apple Pay,failed,
T200365,C10230,2024-00-12,,USD,Card,Paid,0
T200366,C10268,2022-07-01 11:17:00,$339.56,د.إ,cash,chargeback,N
T200367,C10317,2022-04-19 11:43:00,,aed,cash,,FALSE
T200368,C10120,2024-01-21,AED 209.27,,Bank Transfer,FAILED,-
T200369,C10082,not a date,AED 70.76,د.إ,Bank Transfer,CHARGEBACK,refund
T200370,C10045,2022-01-01 21:33:00,458.16dhs,د.إ,,Paid,
T200371,C10127,2024-07-04,169.39,د.إ,Card,paid,0
T200372,,05/17/2024,208.40 AED,GBP,cash,PAID,N
T200373,C10295,2023-04-07 08:54:00,170.07dhs,usd,cash,FAILED,
T200374,C10213,2022-04-29,AED 0.00,usd,card,refunded,refund
T200375,C10055,2023-08-04,0,PKR,PayPal,refunded,refund
T200376,C10310,05/30/2023,,EUR,apple_pay,Paid,partial
T200377,C10141,,0.00 AED,GBP,Apple Pay,paid,no
T200378,C10283,2024-00-12,111.87 AED,EUR,Bank Transfer,REFUNDED,N
T200379,C10026,25-Nov-2023,$176.53,US$,,REFUNDED,refund
T200380,C10023,03/31/2023,50.45,aed,cash,PAID,partial
T200381,C10130,02/09/2022,14.55,GBP,apple_pay,failed,-
T200382,C10367,,263.1,GBP,Card,refunded,yes
T200383,C10120,15-Oct-2022,196.17dhs,usd,Cash,chargeback,1
T200384,C10378,29/08/2024,140.2,AED,Cash,FAILED,-
T200385,,,,AED,bank_transfer,Paid,N
T200386,C10022,2022-06-07 10:56:00,AED 210.92,AED,cash,REFUNDED,-
T200387,C10394,18/04/2022,free,د.إ,Bank Transfer,,refund
T200388,C10023,24-May-2023,450.75 AED,PKR,PayPal,chargeback,yes
T200389,C10390,2023-11-11,264.32,USD,,PAID,partial
T200390,C10066,02-Sep-2023,245.48,,paypal,pending,yes
T200391,C10163,2022/11/11,$205.92,,Card,REFUNDED,N
T200392,C10108,24-May-2023,473.53,AED,card,paid,refund
T200393,C10060,12/20/2022,64.92,GBP,Card,,N
T200394,C10301,2023/09/25,,GBP,,PAID,full
T200395,C10163,,86.60 AED,AED,apple_pay,CHARGEBACK,yes
T200396,C10015,12-Jun-2023,,PKR,bank_transfer,failed,FALSE
T200397,C10121,2024-08-19 07:45:00,AED 195.25,usd,PayPal,CHARGEBACK,Y
T200398,C10397,2024-00-12,169.84,,paypal,pending,refund
T200399,C10276,2022-07-27,free,aed,Cash,PENDING,full
T200400,C10271,2024-09-06 05:49:00,78.87,PKR,bank_transfer,paid,refund
T200401,C10039,29/08/2023,293.38,GBP,apple_pay,Paid,TRUE
T200402,C10069,10-Aug-2024,230.37 AED,USD,Card,paid,refund
T200403,C10384,2022/07/06,$270.22,GBP,apple_pay,Paid,no
T200404,C10386,09/13/2023,272.47dhs,,Apple Pay,Paid,
T200405,C10030,,,,paypal,REFUNDED,Y
T200406,C10400,2023-07-26,AED 140.40,AED,Cash,chargeback,yes
T200407,C10234,2023-10-22 12:26:00,104.98dhs,,paypal,,yes
T200408,C10322,,$272.82,د.إ,card,failed,refund
T200409,C10162,11/27/2022,$154.76,EUR,cash,refunded,Y
T200410,C10225,not a date,56.92 AED,,Card,paid,FALSE
